Author,Title,Abstract,Keywords,Summary
Usman Mohammed Joda,Towards Video Streaming in IoT Environments: Vehicular Communication Perspective,"Multimedia oriented Internet of Things (IoT) enables pervasive and real-time communication of video, audio and image data among devices in immediate surroundings. Today’s vehicles have the capability of supporting real time multimedia acquisition. Vehicles with high illuminating infrared cameras and customized sensors can communicate with other on-road devices using dedicated short-range communication (DSRC) and 5G enabled communication technologies. Real time incidence of both urban and highway vehicular traffic environment can be captured and transmitted using vehicle-to-vehicle and vehicle-to-infrastructure communication modes. Video streaming in vehicular IoT (VSV-IoT) environments is in growing stage with several challenges that need to be addressed ranging from limited resources in IoT devices, intermittent connection in vehicular networks, heterogeneous devices, dynamism and scalability in video encoding, bandwidth underutilization in video delivery, and attaining application-precise quality of service in video streaming. In this context, this paper presents a comprehensive review on video streaming in IoT environments focusing on vehicular communication perspective. Specifically, the significance of video streaming in vehicular IoT environments is highlighted focusing on the integration of vehicular communication with 5G enabled IoT technologies, and smart city oriented application areas for VSV-IoT. A taxonomy is presented for the classification of related literature on video streaming in vehicular network environments. Following the taxonomy, critical review of literature is performed focusing on major functional model, strengths and weaknesses. Metrics for video streaming in vehicular IoT environments are derived and comparatively analyzed in terms of their usage and evaluation capabilities. Open research challenges in VSV-IoT are identified as future directions of research in the area. The survey would benefit both IoT and vehicle industry practitioners and researchers, in terms of augmenting understanding of vehicular video streaming and its IoT related trends and issues.","Video streaming, Internet of vehicles, traffic safety, vehicular ad-hoc networks, Vehicular Communication, Intelligent transportation system, Internet of things, IoT","The paper discusses the significance of video streaming in vehicular IoT environments, presents a taxonomy for the classification of literature on video streaming over vehicular ad-hoc networks, derives performance metrics for video streaming in vehicular IoT environments, and identifies open research issues and challenges in vehicular video streaming under IoT environments."
V. Kreinovich,SISO Fuzzy Relational Inference Systems based on Fuzzy Implications are Universal Approximators,"This paper deals with fuzzy relational inference mechanisms as universal approximators. We consider the implicative form of the rule base, where the antecedents of the rules are related to their consequents using a fuzzy implication. We show that fuzzy relational inference mechanisms with singleton input can be used as universal approximators, and we provide a constructive proof of their approximation capability.","T-norms, Fuzzy sets, Fuzzy relational inference mechanisms, Fuzzy Relational Inference, Universal Approximation, Fuzzy Implications",This paper explores the use of fuzzy relational inference mechanisms as universal approximators. We focus on the implicative form of the rule base and show that fuzzy relational inference mechanisms with singleton input can be used to approximate any continuous function. We provide a constructive proof of their approximation capability and discuss the implications of our results.
V. Lakshmi Prasanna,Classiﬁcation of Mammalian and Non-Mammalian Keratin Protein Sequences Using Machine Learning Techniques,"Keratin protein is ubiquitous in most vertebrates and invertebrates, and has several important cellular and extracellular functions that are related to survival and protection. Keratin function has played a significant role in the natural selection of an organism. Hence, it acts as a marker of evolution. Much information about an organism and its evolution can therefore be obtained by investigating this important protein. In the present study, Keratin sequences were extracted from public data repositories and various important sequential, structural and physicochemical properties were computed and used for preparing the dataset. The dataset containing two classes, namely mammals (Class-1) and non-mammals (Class-0), was prepared, and rigorous classiﬁcation analysis was performed. To reduce the complexity of the dataset containing 56 parameters and to achieve improved accuracy, feature selection was done using the t-statistic. The 20 best features (parameters) were selected for further classiﬁcation analysis using computational algorithms which included SVM, KNN, Neural Network, Logistic regression, Meta-modeling, Tree Induction, Rule Induction, Discriminant analysis and Bayesian Modeling. Statistical methods were used to evaluate the output. Logistic regression was found to be the most effective algorithm for classiﬁcation, with greater than 96% accuracy using a 10-fold cross validation analysis. KNN, SVM and Rule Induction algorithms also were found to be efﬁcacious for classiﬁcation.","Data mining, Artiﬁcial Neural Networks (ANN), Meta-modeling, Machine learning techniques, Classiﬁcation, Artiﬁcial Intelligence (AI), Keratin, Logistic regression, Discriminant analysis, Mammalian and non-mammalian origin, Support Vector Machines (SVM), Tree induction, Biological classiﬁcation, Keratin protein sequences, Machine learning, Rule induction",This study aims to classify mammals and non-mammals based on various properties of the Keratin protein molecule. The dataset containing 56 parameters was prepared and feature selection was done using the t-statistic. The 20 best features were selected for further classiﬁcation analysis using computational algorithms. Logistic regression was found to be the most effective algorithm for classiﬁcation with greater than 96% accuracy.
V. Ravi,"Agriculture Extension System in India: A Meta-analysis ||| Detection of Financial Statement Fraud Using Data Mining Techniques ||| Digital Banking Dimensions and Analytics ||| ECM Based Imputation for Missing Data ||| Hybrid Architecture for Sentiment Classification ||| Machine Learning Techniques Applied to Profile Mobile Banking Users in India ||| Profiling of Internet Banking Users in India ||| Sentiment Analysis of Training Programmes ||| The Next Wave of CRM Innovation: Implications for Research, Teaching, and Practice","Agriculture extension system bridges the gap between research labs to a farmer’s field. Agricultural research, education and extension are said to be the most critical for promoting farm productivity and enhancing farmer’s income. The public sector is major extension service provider and the reach of the public extension is limited in India and in addition it is burdened with non-extension responsibilities such as the distribution of subsidies and inputs, with little time left to attend to core extension activities. ||| Recently, high profile cases of financial statement fraud have been dominating the news. This paper uses data mining techniques such as Multilayer Feed Forward Neural Network (MLFF), Support Vector Machines (SVM), Genetic Programming (GP), Group Method of Data Handling (GMDH), Logistic Regression (LR), and Probabilistic Neural Network (PNN) to identify companies that resort to financial statement fraud. Each of these techniques is tested on a dataset involving 202 Chinese companies and compared with and without feature selection. PNN outperformed all the techniques without feature selection, and GP and PNN outperformed others with feature selection and with marginally equal accuracies. ||| Of late, the financial services industry is fast moving away from the traditional paradigm to the sophisticated digital way of dealing and the customer. Both the facets of the financial service industry, viz., the financial service provider and the customer are going through a digital evolution. In particular, banking industry has evolved from just journal and ledger entry paradigm to data and analytics driven banking operations, which subsumes online as well as offline customer behavior. This paper discusses various scenarios in baking, finance services and insurance (BFSI) areas, where big data analytics is turning out to be paramount. The paper also highlights the potential benefits, of the new-age technologies viz., Internet of Things (IoT), Blockchain, Chatbots and robotics. ||| This paper presents a novel approach for imputing missing data using the Expectation-Maximization (ECM) algorithm. The proposed method is based on clustering the complete records and imputing the missing values by the corresponding values of the attribute in the center of the nearest cluster. ||| Evolution of plethora of e-commerce sites resulted in fierce competition among their providers. In order to acquire new and retain existing customers, various producers and market managers effectively employ online feedback analytics tools. Most of the online feedback analysis tools are built using sentiment analysis models. Sentiment analysis evolved in the last one and half decades for review mining process. An important sub-task of sentiment analysis called sentiment classification is used mainly to decide whether a written review is expressing either positive or negative sentiment towards a target entity. In order to have better sentiment classification accuracy, we proposed a hybrid deep learning architecture, which is a hybrid of a two layered Restricted Boltzmann Machine and a Probabilistic Neural Network. The proposed approach yielded better accuracy for five different datasets compared to the state-of-the-art. ||| This paper profiles mobile banking users using machine learning techniques viz. Decision Tree, Logistic Regression, Multilayer Perceptron, and SVM to test a research model with fourteen independent variables and a dependent variable (adoption). A survey was conducted and the results were analysed using these techniques. Using Decision Trees the profile of the mobile banking adopter’s profile was identified. Comparing different machine learning techniques it was found that Decision Trees outperformed the Logistic Regression and Multilayer Perceptron and SVM. Out of all the techniques, Decision Tree is recommended for profiling studies because apart from obtaining high accurate results, it also yields ‘if–then’ classification rules. The classification rules provided here can be used to target potential customers to adopt mobile banking by offering them appropriate incentives. ||| This paper presents a study on profiling of internet banking users in India. The study used a questionnaire with 58 related questions to collect data from 165 respondents. The data was preprocessed and split into training and test sets. Four predictive models were used to classify internet banking users: Classification and Regression Trees (CART), Logistic Regression, Support Vector Machines (SVM), and Neural Networks. The results showed that CART performed feature selection and identified the most important variables in customers' point of view. The study also presented 17 rules derived from the decision tree constructed with entropy method in CART. ||| Sentiment analysis found various applications in banking, financial, service, and insurance sector. In order to increase return on investment, services industry needs to improve customer satisfaction at any cost.  In this regard, we proposed to analyze customer reviews on the basis of sentiment score. We analyzed a set of credible text reviews collected on 270 training programmes posted by 2688 participants in an organization. In order to evaluate the efficacy of the proposed approach, we computed correlation coefficient between sentiment score obtained from the unstructured reviews and the overall numerical rating assigned by all participants. Further, we employed visualization techniques to visualize different aspects of the programmes. ||| Globalization and customers’ ever-changing needs have created a hyper-competitive market. As a result, customer relationship management (CRM) has become a core topic of interest among both practitioners and academics. Further, over the years, with the advancements in the technology landscape, such as digital technologies, CRM has improved in myriad ways. This paper summarizes a panel discussion on CRM innovations held at the 2016 Pacific Asia Conference on Information Systems (PACIS 2016) in Chiyai, Taiwan. The panel discussed CRM fundamentals and how traditional CRM systems work in organizations. Then, the panel focused on the advancement in technology landscape such as big data, analytics, Internet of things, and artificial intelligence and how such technologies have transformed innovations in the CRM landscape. Finally, the panel highlighted the limitations in the current CRM curricula in the universities and how the curriculum today needs to reflect such advancements to enhance the union between the CRM curricula and the industry needs. Further, this paper provides future research ideas for academia and contributes to research interests on CRM in general.","artificial intelligence, Restricted Boltzmann Machine, Evolving Clustering Method, Machine Learning, decision tree, Multilayer Perceptron, operational analytics, Deep learning, entropy method, sentiment classification, Visualization, intelligent techniques, Financial Services, CRM, Manpower, Data mining, Investment, PNN, SVM, Customer Relationship Management, financial statement fraud, Chat-bot, profiling, India, customers, Internet of Things, Agriculture extension, Customer Reviews, Mobile Banking User Profiles, risk analytics, Missing Data, Probabilistic neural network, t-statistic, Big Data Analytics, Big Data, customer adoption, fraud analytics, Farmers Producers' Organizations, GP, fraud detection, Insurance, Dimensionality reduction, Digital Banking, clustering, Online learning, RBM, participants' feedback, ECM, customer analytics, Meta analysis, Imputation, Hadoop, Training Programmes, Neural networks, Decision Tree, Artificial Intelligence, Internet banking, Feature selection, Extension approaches, Logistic Regression, CRM Curriculum, programme rating, Local Learning, Text Mining, Financial fraud detection, ICT, Sentiment analysis, IoT, Spark","The article reviews the agricultural extension system in India to suggest pathways for better extension system in India. The public extension services are highly skewed towards crop husbandry ignoring allied sectors in India. The growth in the High-Value Agriculture sector has been twice or sometimes even thrice that of the crop production. However, Agriculture extension services for such sectors almost nil or unorganized. ||| This paper uses data mining techniques to identify companies that resort to financial statement fraud. The techniques used include Multilayer Feed Forward Neural Network (MLFF), Support Vector Machines (SVM), Genetic Programming (GP), Group Method of Data Handling (GMDH), Logistic Regression (LR), and Probabilistic Neural Network (PNN). The results show that PNN outperformed all the techniques without feature selection, and GP and PNN outperformed others with feature selection and with marginally equal accuracies. ||| The paper explores the eight dimensions of a digital bank, including customer/sales/services, regulator/other banks, internal, technology, data, business process reengineering, analytics, and people. It also discusses the role of analytics in digital banking, including customer analytics, fraud analytics, risk analytics, operational analytics, security analytics, and HR analytics. ||| The paper discusses the problem of missing data in various disciplines and proposes an Evolving Clustering Method (ECM) based imputation method. The authors performed sensitivity analysis of the influence of threshold value (Dthr) on imputation results over 12 datasets and compared the performance of ECM with K-Means+MLP. ||| The proposed architecture is a hybrid of RBM and PNN, which performs dimensionality reduction and sentiment classification in an online learning process. The time complexity of the proposed architecture is O(I*B*n) + O(m), where I is the number of iterations, B is the batch size, and m is the number of samples. ||| This paper studies the various factors that affect the intention of users to adopt mobile banking. The major influential factors have been identified through literature, and a survey was conducted with two hundred respondents in the Indian context. The paper analyses the survey data through the use of machine learning techniques to arrive at the most important and critical success factors that influences the adoption of mobile. ||| This study presents a profiling of internet banking users in India using a questionnaire with 58 related questions. The data was preprocessed and split into training and test sets. Four predictive models were used to classify internet banking users. The results showed that CART performed feature selection and identified the most important variables in customers' point of view. ||| The paper proposes a sentiment analysis approach to analyze customer reviews on the basis of sentiment score. The approach is divided into five sections: data collection, text preprocessing, sentiment score computation, evaluation, and visualization. The paper presents the results of the proposed approach and discusses the future directions of work. ||| This paper discusses the next wave of CRM innovation and its implications for research, teaching, and practice. It summarizes a panel discussion on CRM innovations held at the 2016 Pacific Asia Conference on Information Systems (PACIS 2016) in Chiyai, Taiwan. The panel discussed CRM fundamentals, the advancement in technology landscape, and the limitations in the current CRM curricula. The paper provides future research ideas for academia and contributes to research interests on CRM in general."
V. S. S. Sastry,Liquid crystal films on curved surfaces: An entropic sampling study,"We report a Monte Carlo study of the phase transition in liquid crystals using the Wang-Landau algorithm. We compute the representative density of states of the film under consideration and make the system perform an energy-uniform random walk by biasing the walk against its own density of states. We then extract the canonical ensembles by simultaneously applying two biasing probabilities to the microstates, one according to the density of states and the other due to the assumed statistical distribution corresponding to the temperature under consideration. We adopt this procedure in reporting the following equilibrium properties of the film under different boundary conditions.","curved substrates, Monte Carlo simulation, Monte Carlo study, phase transition, liquid crystals, nematic thin film, Wang-Landau algorithm","We study the phase transition in liquid crystals using the Wang-Landau algorithm and report the equilibrium properties of the film under different boundary conditions. We find that the temperature at which the transition takes place is not the same as the temperature near which the uniaxial phase actually forms, and that the surface anchoring seems to be too strong for the elastic response of the nematic medium to force a uniaxial order above a certain threshold value."
V. Vetrivel,A Novel Fuzzy Rule Based Inference System for Contrast Enhancement,"In this work, we propose a fuzzy inference system based contrast enhancement of gray level images. We propose a new method of generating the fuzzy if-then rules specific to a given image based on the local information available to be used by a fuzzy inference system.","Fuzzy Partition, Histogram Equalisation, partial histogram, contrast enhancement, Fuzzy Inference Systems, fuzzy rule based inference system, Mamdani fuzzy inference system, Image Enhancement, Contrast Stretching, Histogram Matching, Gray level transformations",The paper proposes a fuzzy inference system based contrast enhancement of gray level images. It presents a new method of generating fuzzy if-then rules specific to a given image based on local information available. The method generates a partial histogram and saves on computational costs. The enhanced images from the proposed algorithm are comparable or even better than those obtained from histogram equalization.
VARSHIT BANSAL,DRIVER ASSISTANCE SYSTEM,"India is home to one of the most underpaid yet overworking drivers. Transporters expect them to work at least twenty or more hours per day continuously without any consideration to their health. This leads them to have bursts of micro sleep, a temporary episode of sleepiness which may last for a smidgen of a second or up to 30 seconds, where the victim fails to react to some stimulus from the environment and becomes unconscious. As a result of this, road accidents have become a common occurrence in India. One solution to this problem is to enhance the vehicles to an extent, so that it is possible to determine the drowsiness of the driver in real time. In this project, we propose a system to assist a driver through detecting drowsiness, distractions and stop signs. The system is easy to understand and the learning curve is minimal. The system is highly robust and can withstand minimal amount of wear and tear. The products assumes that the driver is not blind or deaf. This assumption does not affect the availability of product to mass customers since there are not many driver with visual impairment or hearing impairment. It also assumes that the driver does not drive with either of their eyes closed since driving is not a fun game, since the lives of other passengers is in the drivers hands.","Eye Aspect Ratio, fatigue detection, yawning detection, Region of Interest, drowsiness detection, Mouth Vertical Distance, driver assistance system","The paper proposes a system to assist a driver through detecting drowsiness, distractions and stop signs. The system is easy to understand and the learning curve is minimal. It is highly robust and can withstand minimal amount of wear and tear. The system assumes that the driver is not blind or deaf and does not drive with either of their eyes closed."
VERMA,Self-Optimal Clustering Technique Using Optimized Threshold Function,This paper presents a self-optimal clustering technique using optimized threshold function. The proposed method is an advanced version of the traditional IMC method and is similar to it until Step 8. The algorithm is repeated until the threshold function gets converged where the GSI value is maximized.,"global silhouette index, silhouette index, threshold function, improved mountain clustering (IMC), clustering, Expectation maximization algorithm, fuzzy cardinality, interpolation polynomial","The proposed clustering technique is equipped with major changes and modifications in its previous versions of algorithm. SOC is compared with some of the widely used clustering techniques such as K-means, fuzzy C-means, Expectation and Maximization, and K-medoid."
VIKAS YADAV,DRIVER ASSISTANCE SYSTEM,"India is home to one of the most underpaid yet overworking drivers. Transporters expect them to work at least twenty or more hours per day continuously without any consideration to their health. This leads them to have bursts of micro sleep, a temporary episode of sleepiness which may last for a smidgen of a second or up to 30 seconds, where the victim fails to react to some stimulus from the environment and becomes unconscious. As a result of this, road accidents have become a common occurrence in India. One solution to this problem is to enhance the vehicles to an extent, so that it is possible to determine the drowsiness of the driver in real time. In this project, we propose a system to assist a driver through detecting drowsiness, distractions and stop signs. The system is easy to understand and the learning curve is minimal. The system is highly robust and can withstand minimal amount of wear and tear. The products assumes that the driver is not blind or deaf. This assumption does not affect the availability of product to mass customers since there are not many driver with visual impairment or hearing impairment. It also assumes that the driver does not drive with either of their eyes closed since driving is not a fun game, since the lives of other passengers is in the drivers hands.","Eye Aspect Ratio, fatigue detection, yawning detection, Region of Interest, drowsiness detection, Mouth Vertical Distance, driver assistance system","The paper proposes a system to assist a driver through detecting drowsiness, distractions and stop signs. The system is easy to understand and the learning curve is minimal. It is highly robust and can withstand minimal amount of wear and tear. The system assumes that the driver is not blind or deaf and does not drive with either of their eyes closed."
Vadlamani Ravi,A Computational Intelligence Based Online Data Imputation Method: An Application For Banking ||| Classiﬁcation of Mammalian and Non-Mammalian Keratin Protein Sequences Using Machine Learning Techniques ||| Credit Card Fraud Detection using Big Data Analytics: Use of PSOAANN based One-Class Classification ||| Visual Sentiment Analysis of Customer Complaints using SOM,"All the imputation techniques proposed so far in literature for data imputation are offline techniques as they require a number of iterations to learn the characteristics of data during training and they also consume a lot of computational time. Hence, these techniques are not suitable for applications that require the imputation to be performed on demand and near real-time. The paper proposes a computational intelligence based architecture for online data imputation and extended versions of an existing offline data imputation method as well. ||| Keratin protein is ubiquitous in most vertebrates and invertebrates, and has several important cellular and extracellular functions that are related to survival and protection. Keratin function has played a significant role in the natural selection of an organism. Hence, it acts as a marker of evolution. Much information about an organism and its evolution can therefore be obtained by investigating this important protein. In the present study, Keratin sequences were extracted from public data repositories and various important sequential, structural and physicochemical properties were computed and used for preparing the dataset. The dataset containing two classes, namely mammals (Class-1) and non-mammals (Class-0), was prepared, and rigorous classiﬁcation analysis was performed. To reduce the complexity of the dataset containing 56 parameters and to achieve improved accuracy, feature selection was done using the t-statistic. The 20 best features (parameters) were selected for further classiﬁcation analysis using computational algorithms which included SVM, KNN, Neural Network, Logistic regression, Meta-modeling, Tree Induction, Rule Induction, Discriminant analysis and Bayesian Modeling. Statistical methods were used to evaluate the output. Logistic regression was found to be the most effective algorithm for classiﬁcation, with greater than 96% accuracy using a 10-fold cross validation analysis. KNN, SVM and Rule Induction algorithms also were found to be efﬁcacious for classiﬁcation. ||| This paper presents a hybrid model called PSOAANN, which combines the strengths of Auto-Associative Neural Network (AANN) and Particle Swarm Optimization (PSO). The proposed model is used for one-class classification, where the goal is to identify the minority class in a dataset. The PSOAANN model is trained on negative samples and learns the characteristics of the majority class. The model is then tested on positive samples, and the relative error is computed for each feature. If the relative error is greater than a threshold value, the sample is classified as belonging to the positive class. ||| With the widespread use of social media, companies now have access to a wealth of customer feedback data which has valuable applications to Customer Relationship Management (CRM). Analyzing customer grievances data, is paramount as their speedy non-redressal would lead to customer churn resulting in lower profitability. In this paper, we propose a descriptive analytics framework using Self-organizing feature map (SOM), for Visual Sentiment Analysis of customer complaints. The network learns the inherent grouping of the complaints automatically which can then be visualized too using various techniques. Analytical Customer Relationship Management (ACRM) executives can draw useful business insights from the maps and take timely remedial action. We also propose a high-performance version of the algorithm CUDASOM (CUDA based Self Organizing feature Map) implemented using NVIDIA parallel computing platform, CUDA, which speeds up the processing of high-dimensional text data and generates fast results. The efficacy of the proposed model has been demonstrated on the customer complaints data regarding the products and services of four leading Indian banks. CUDASOM achieved an average speed up of 44 times. Our approach can expand research into intelligent grievance redressal system to provide rapid solutions to the complaining customers.","Grievance Redressal, Visual Sentiment Analysis, K-Means clustering, Machine learning techniques, PSOAANN, GRNN, SOM, Machine learning, Data mining, computational intelligence, CUDA, AANN, Auto-encoder, Keratin, K-Medoids clustering, General Regression Neural Network (GRNN), Support Vector Machines (SVM), Biological classiﬁcation, MLP, Data Imputation, Keratin protein sequences, hybrid model, Classiﬁcation, Artiﬁcial Intelligence (AI), One-class classification, Logistic regression, Discriminant analysis, Mammalian and non-mammalian origin, Analytical CRM, Auto-associative neural network, Artiﬁcial Neural Networks (ANN), Imputation, Tree induction, Single class classification, Rule induction, Particle swarm optimization, Self-Organizing Map, Meta-modeling, Customer Complaints, Self-Organizing Maps, Evolving Clustering Method (ECM), banking, PSO, online data imputation","The proposed online imputation technique has 2 stages. In stage 1, Evolving Clustering Method (ECM) is used to replace the missing values with cluster centers, as part of the local learning strategy. Stage 2 refines the resultant approximate values using a General Regression Neural Network (GRNN) as part of the global approximation strategy. ||| This study aims to classify mammals and non-mammals based on various properties of the Keratin protein molecule. The dataset containing 56 parameters was prepared and feature selection was done using the t-statistic. The 20 best features were selected for further classiﬁcation analysis using computational algorithms. Logistic regression was found to be the most effective algorithm for classiﬁcation with greater than 96% accuracy. ||| This paper presents a study on credit card fraud detection using one-class classification approach in big data paradigm. The proposed methodology involves a hybrid architecture of Particle Swarm Optimization and Auto-Associative Neural Network for one-class classification in Spark computational framework. The results show that the proposed approach is effective in detecting credit card fraud. ||| This paper proposes a descriptive analytics framework using Self-organizing feature map (SOM) for Visual Sentiment Analysis of customer complaints. The framework learns the inherent grouping of complaints automatically and can be visualized using various techniques. A high-performance version of the algorithm CUDASOM is also proposed, which speeds up the processing of high-dimensional text data and generates fast results."
Vaibhav Mittal,Proposed Framework for Modeling Course Structure in a Personalized E-Learning System,"A proposal scheme to personalize students’ learning based on her learning aim in an e-learning environment. The system acknowledges a distinct set of students' aims that prioritize various Learning Objects (LOs) such as theory, case studies etc. according to student's Learning Aim (LA).","Learning Objects, Learning Aims, Course structure, Concept Perspectives, Priority tables, Personalized E-learning, Directed Acyclic Graph, Ant Colony Optimization",This paper proposes a framework that emphasizes the significance of user's LA while selecting the LOs as well as adding to the kitty of perspectives for grasping a concept. The system generates an initially optimized path taking into account the priorities of learning objects and the contribution of concept perspectives for different learning aims.
Vaishali Soni,Security vs. Flexibility : Striking a Balance in the Pandemic Era,"An organization’s reputation is largely dependent on the work culture it provides to its employees. This is the reason, “flexibility” is becoming an inherent part of an employer’s support to its employees. Due to the unprecedented outbreak of novel corona virus (COVID-19), most companies have adopted flexibility of working from anywhere, for their employees. This digital transformation took place almost instantaneously. Hence, neither the employees, nor the employers were fully prepared for this situation. This definitely makes our lives convenient. But there exists another side of the coin which is concerned with the security issues pertaining to use of personal networks and devices. The home network devices have not been configured to be secure in line with the employer’s requirements. That is the reason, attackers have a larger surface to get their hands dirty on. This paper exhaustively describes the holistic view of security issues and challenges faced by employees as well as employers in remote working paradigm. This paper emphasizes on the cybersecurity threats which have emerged in this pandemic era. The work presents the challenges faced by the employees as well as their employers in these tough times. Then this paper discusses the sudden rise in volumes of cyber-attacks between January 2020 to March 2020. The company’s evaluation of critical threats in the on-site working paradigm versus the remote working paradigm have also been described. Next, it describes the risks which might occur in the near future of the COVID-19 impacted world. Finally, the paper proposes some of the ways in which employers can strike an efficient balance between flexibility for employees and security of their assets.","COVID-19, cyber attacks, remote working, flexibility, cybersecurity, pandemic, attacks, threats","The COVID-19 pandemic has led to a significant increase in cyber attacks, with various types of attacks including Corona Virus themed MalSpam Emails, Spam Emails, Malware inside Interactive Map, VPN Exploitation, Credential Stuffing, Misconfiguration of Cloud Services, Vishing (or phishing) Attacks, Ransomware Attack, and Data Theft By Employees. Organizations need to work toward inculcating a strong security technological infrastructure to deal with the frequently changing cyber-attacks landscape."
Valentina E. Balas,Advances in Intelligent Systems and Computing 757,"The series “Advances in Intelligent Systems and Computing” contains publications on theory, applications, and design methods of Intelligent Systems and Intelligent Computing.","learning paradigms, soft computing, knowledge management, intelligent agents, fuzzy systems, robotics and mechatronics, interactive entertainment, computational intelligence, neural networks, recommender systems, Conference Proceedings, human-centered and human-centric computing, trust management, Mechanical Engineering, ambient intelligence, evolutionary computing, DNA and immune based systems, intelligent control, virtual worlds and society, human-machine teaming, self-organizing and adaptive systems, computational neuroscience, knowledge-based paradigms, artiﬁcial life, Perception and Vision, intelligent data analysis, e-Learning and teaching, social intelligence, cognitive science and systems, Web intelligence and multimedia, intelligent decision making and support, intelligent network security, machine ethics","This volume constitutes a part of the proceedings of ﬁrst International Conference on Innovations in Infrastructure (ICIIF) 2018, which was held on 18–19 May, 2018, in Ahmedabad, India."
Vasanth Iyer,Distributed Source Coding for Sensor Data Model ||| Training Data Compression Algorithms and Reliability in Large Wireless Sensor Networks,"We measure reliability in sensor networks which are dependent on limited resources of individual sensor nodes such has battery capacity, transmission range and channel interference due to simultaneous wireless transmissions. ||| With the availability of low-cost sensor nodes there have been many standards developed to integrate and network these nodes to form a reliable network allowing many different types of hardware vendors to coexist.","Sensor Data Reliability, Probability Model, cluster head selection, BER, Slepian & Wolf Coding, Baysian Error, Data Compression, Sensor Network, sensor data model, Slepian-Wolf theorem, Wireless Sensor Networks, Cosets, distributed source coding, Reliability, Huffman Trees","The paper presents a distributed source coding approach for sensor data model, which includes Slepian-Wolf theorem, compression rate, fault rate, and cluster head selection schemes. The approach is designed to reduce the number of bits needed for transmission in sensor networks. ||| This paper proposes a data compression algorithm for large wireless sensor networks, which optimizes data redundancy and uses a probability model to efficiently compress data at cluster heads."
Vasanthakumar Namasivayam,"Seroprevalence of SARS-CoV-2 Antibodies in Uttar Pradesh, India: A Cross-Sectional Study","Population-based serological antibody test for SARS-CoV-2 infection helps in estimating the exposure in the community. We present the findings of the first district representative seroepidemiological survey conducted between 4 and 10 September 2020 among the population aged 5 years and above in the state of Uttar Pradesh, India. Multi-stage cluster sampling was used to select participants from 495 primary sampling units (villages in rural areas and wards in urban areas) across 11 selected districts to provide district-level seroprevalence disaggregated by place of residence (rural/urban), age (5–17 years/aged 18 +) and gender. A venous blood sample was collected to determine seroprevalence. Of 16,012 individuals enrolled in the study, 22.2% [95% CI 21.5–22.9] equating to about 10.4 million population in 11 districts were already exposed to SARS-CoV-2 infection by mid-September 2020. The overall seroprevalence was significantly higher in urban areas (30.6%, 95% CI 29.4–31.7) compared to rural areas (14.7%, 95% CI 13.9–15.6), and among aged 18 + years (23.2%, 95% CI 22.4–24.0) compared to aged 5–17 years (18.4%, 95% CI 17.0–19.9). No differences were observed by gender. Individuals exposed to a COVID confirmed case or residing in a COVID containment zone had higher seroprevalence (34.5% and 26.0%, respectively). There was also a wide variation (10.7–33.0%) in seropositivity across 11 districts indicating that population exposed to COVID was not uniform at the time of the study. Since about 78% of the population (36.5 million) in these districts were still susceptible to infection, public health measures remain essential to reduce further spread.","COVID-19, Seroprevalence, India, SARS-CoV-2, Heterogeneity, Uttar Pradesh","This study presents the first district-level seroprevalence survey of SARS-CoV-2 infection in Uttar Pradesh, India. Conducted in September 2020, the survey found that 22.2% of the population had been exposed to the virus by that time. Seroprevalence was significantly higher in urban areas and among individuals aged 18 and older. The findings highlight the importance of continued public health measures to reduce further spread of the virus."
Vasu Saluja,"L,M&A: An Algorithm for Music Lyrics Mining and Sentiment Analysis","Here we propose an open source algorithm, L,M&A(Lyrics, Mine and Analyse) to create a dataset of lyrics of the works of various artists. The aim of this approach is to facilitate the generation of a large data set that can be used for improving accuracy of song recommendation algorithms.","Music Recommendation, Natural Language Processing, algorithm, musicology, Sentiment Analysis, musixmatch, Data Mining, Genius, Lyrics Database, music lyrics mining, Rstudio, genius API","This paper proposes an algorithm to mine lyric data for various artists which can be further utilized to generate a sentiment for individual artists. The employed model is an independent function that requires an artist’s name as primary input and through open-source APIs gathers the required data regarding that artist’s work and then employs our algorithm, L,M&A(Lyrics, Mine and Analyse) to generate a sentiment (based on the different categories of sentiment present in the lexicons used) for that particular artist and is also able to quantitate that sentiment."
